45265,640
42815,885
69695,226
49788,656
48644,391
24083,671
37610,217
24508,447
63854,154
93227,759
91105,674
12245,447
14184,640
20034,70
28273,119
31547,628
41755,859
21042,644
65776,132
56670,437
78710,783
70940,408
69208,295
53923,958
30943,952
96595,952
44230,783
63436,575
52457,859
52323,391
51506,408
40992,997
43810,644
41940,958
61590,236
86507,958
97548,650
76194,413
91740,859
38037,887
34726,446
92005,213
64729,644
23936,236
43738,887
98964,957
85722,830
40528,136
67537,954
75500,759
90527,226
32730,154
84132,943
27260,119
76405,958
29726,78
60180,132
86671,635
64795,885
91696,23
66767,114
41416,124
86435,952
19815,413
21786,783
67889,119
73670,891
62363,671
11823,118
40263,644
15051,891
68420,887
76928,408
56894,601
36378,957
69316,885
93327,124
77832,459
85765,632
43910,830
60754,601
11451,952
41444,830
85526,226
38608,131
91661,635
67466,78
95498,632
89983,488
30613,759
29393,954
30841,957
54291,275
58425,958
23839,650
63724,98
71759,891
28037,674
69529,371
68840,131
72363,328
43262,589
94243,131
47036,656
97784,236
87180,985
16700,635
45913,78
88565,943
12923,124
96680,589
92848,119
46993,118
36038,957
77863,656
85624,885
22842,759
33522,437
58637,574
32229,783
23075,783
13236,671
38971,650
56570,640
26852,98
98868,236
55784,954
38811,124
26528,136
49498,650
24803,517
52966,446
38639,413
83278,78
78471,217
77525,459
13265,701
23118,759
17657,16
92183,459
25707,589
90217,408
68445,589
59402,226
43469,957
47499,891
83868,885
31443,124
31995,640
58296,830
54591,114
53177,114
61400,891
47737,952
58279,601
52275,674
41399,118
10921,275
52106,339
28689,589
94991,119
49010,783
68238,628
79591,131
10184,339
99822,575
34837,601
59799,635
65535,295
56910,958
86689,574
63059,295
47003,371
21408,217
49309,70
32718,783
66212,488
57445,408
13663,119
53808,985
48550,635
70980,640
24211,132
58956,154
20329,456
48066,70
83903,391
25338,635
57588,830
74961,777
68076,437
21619,236
92989,640
24959,456
77759,656
49484,213
63121,575
80034,517
46645,644
91025,446
53883,408
63058,650
42130,413
93877,640
41525,328
56821,328
22068,671
38659,118
55713,437
29869,226
69912,759
84352,783
72764,119
78544,447
71099,885
35582,759
66013,286
89308,640
82004,674
93327,275
11752,701
35452,447
61169,759
68680,70
86059,328
16336,628
20962,650
68099,701
63514,574
29192,23
92876,957
22238,671
72109,517
73340,517
91440,70
37416,759
45014,136
32385,70
47579,701
62902,286
32489,20
25804,628
49355,226
57286,118
11522,98
24640,447
51910,226
47673,226
15722,154
27807,131
37960,985
78213,488
41404,16
32196,954
66943,635
88351,16
21221,997
97529,459
53614,447
14788,154
47836,517
10456,23
97617,997
73270,446
74790,952
30817,517
85284,119
43292,23
73621,891
95884,640
59023,23
30595,154
23972,632
37610,286
60622,488
87273,217
34499,437
40771,275
21338,628
69790,887
84870,601
71711,628
82208,236
62977,574
88442,236
87204,20
92721,783
29746,891
49295,628
28758,517
98581,632
48685,437
16764,957
96922,650
29615,859
56221,628
75157,275
48786,759
88971,136
96974,70
44725,575
18912,644
53083,413
24663,589
92437,933
28418,131
23535,954
11097,118
33239,339
63640,640
49724,16
89065,446
90907,16
80847,371
13998,136
41369,124
18539,958
95997,891
13343,78
23374,437
76185,446
61997,236
48626,119
36254,933
76677,574
54043,640
32099,446
82657,837
24931,154
40937,859
37497,286
53290,640
52430,958
21245,136
53917,859
45729,391
63939,671
40027,446
20662,891
19474,408
12084,601
34138,213
78571,933
73225,78
18055,574
13975,650
24966,837
92160,933
60341,575
38703,131
49111,644
99433,632
45758,217
75219,958
54690,447
90127,640
95841,958
85211,601
32315,656
31155,656
56888,236
60801,674
23999,136
15205,98
48034,640
81957,952
78784,640
15075,997
66483,328
94150,437
30349,958
46267,859
23470,997
20060,226
64439,632
93075,408
38217,408
23062,640
99788,517
18025,650
14072,635
88771,236
79625,408
18199,958
80053,517
98345,887
66888,275
69018,217
95232,136
83892,783
79028,154
97672,275
48712,488
42714,236
45451,628
69639,957
13601,891
90361,701
18490,783
47552,640
40298,837
42538,488
57272,601
71173,217
91193,985
74688,16
60649,943
16448,628
92280,217
72190,640
30313,635
85075,958
99985,119
